Frame,Time,m_avg_PelvisRotX,m_avg_PelvisRotY,m_avg_PelvisRotZ,m_avg_L_HipRotX,m_avg_L_HipRotY,m_avg_L_HipRotZ,m_avg_L_KneeRotX,m_avg_L_KneeRotY,m_avg_L_KneeRotZ,m_avg_L_AnkleRotX,m_avg_L_AnkleRotY,m_avg_L_AnkleRotZ,m_avg_L_FootRotX,m_avg_L_FootRotY,m_avg_L_FootRotZ,m_avg_R_HipRotX,m_avg_R_HipRotY,m_avg_R_HipRotZ,m_avg_R_KneeRotX,m_avg_R_KneeRotY,m_avg_R_KneeRotZ,m_avg_R_AnkleRotX,m_avg_R_AnkleRotY,m_avg_R_AnkleRotZ,m_avg_R_FootRotX,m_avg_R_FootRotY,m_avg_R_FootRotZ,m_avg_Spine1RotX,m_avg_Spine1RotY,m_avg_Spine1RotZ,m_avg_Spine2RotX,m_avg_Spine2RotY,m_avg_Spine2RotZ,m_avg_Spine3RotX,m_avg_Spine3RotY,m_avg_Spine3RotZ,m_avg_L_CollarRotX,m_avg_L_CollarRotY,m_avg_L_CollarRotZ,m_avg_L_ShoulderRotX,m_avg_L_ShoulderRotY,m_avg_L_ShoulderRotZ,m_avg_L_ElbowRotX,m_avg_L_ElbowRotY,m_avg_L_ElbowRotZ,m_avg_L_WristRotX,m_avg_L_WristRotY,m_avg_L_WristRotZ,m_avg_NeckRotX,m_avg_NeckRotY,m_avg_NeckRotZ,m_avg_HeadRotX,m_avg_HeadRotY,m_avg_HeadRotZ,m_avg_R_CollarRotX,m_avg_R_CollarRotY,m_avg_R_CollarRotZ,m_avg_R_ShoulderRotX,m_avg_R_ShoulderRotY,m_avg_R_ShoulderRotZ,m_avg_R_ElbowRotX,m_avg_R_ElbowRotY,m_avg_R_ElbowRotZ,m_avg_R_WristRotX,m_avg_R_WristRotY,m_avg_R_WristRotZ,
21,0.3106569,14.25768,182.2013,357.9837,1.907137,213.8739,0.3784786,352.664,184.9257,352.3687,24.43262,178.8717,3.252188,3.762775,177.9854,355.5699,358.1195,151.9224,355.7162,353.2314,181.4131,3.90025,59.98102,159.3384,334.8415,19.75513,181.7879,7.751721,353.3267,184.0016,358.5873,353.3267,184.0016,358.5873,12.53483,184.7129,1.01686,12.53483,184.7129,1.016859,12.88149,179.2896,0.209278,12.72027,175.646,5.623578,357.511,160.1506,21.15835,351.78,194.1364,354.8896,0.1133479,199.8478,359.7276,12.53483,184.7129,1.016859,12.88634,171.5449,3.102775,12.88746,159.9651,355.2158,341.4514,182.8764,351.3653,
22,0.321643,14.31748,182.2182,357.9995,2.267636,213.8304,0.7434416,353.1561,184.851,352.5143,24.85124,179.7876,3.332344,3.763583,178.9887,355.5718,358.0527,151.9387,355.7233,353.1698,181.4328,3.873338,59.91516,159.3147,334.8405,19.75513,181.7879,7.751719,353.3791,184.0143,358.6099,353.3791,184.0143,358.6099,12.63777,184.7442,1.066732,12.63777,184.7442,1.066732,12.98651,179.3465,0.263764,12.82845,175.7013,5.671111,357.5565,160.1529,21.11593,351.847,194.1628,354.9331,0.09845723,199.917,359.709,12.63777,184.7442,1.066732,12.97838,171.6258,3.047464,12.96255,159.8347,355.0839,341.4783,182.8908,351.374,
23,0.3327881,14.37522,182.2307,358.0124,2.585799,213.7887,1.063096,353.5891,184.7812,352.6403,25.43425,180.6412,3.466218,3.761979,179.9321,355.5697,357.9884,151.9511,355.7289,353.1111,181.4486,3.846354,59.85185,159.2894,334.837,19.75513,181.7879,7.75172,353.4287,184.0223,358.6281,353.4287,184.0223,358.6281,12.73586,184.7664,1.109206,12.73586,184.7664,1.109206,13.08371,179.4191,0.334281,12.92983,175.7722,5.735096,357.5757,160.1851,21.08981,351.9063,194.1746,354.9659,0.07521294,199.9592,359.6786,12.73586,184.7664,1.109206,13.07573,171.7928,3.039263,13.05064,159.6876,354.9777,341.4797,182.9241,351.3999,
24,0.3441774,14.43545,182.2453,358.0255,2.857385,213.7559,1.352981,353.9671,184.7214,352.7625,25.95433,181.4134,3.582214,3.760807,180.8029,355.5711,357.925,151.9642,355.7412,353.0498,181.4646,3.825654,59.78855,159.278,334.847,19.75513,181.7879,7.751719,353.481,184.0333,358.6465,353.481,184.0333,358.6465,12.8374,184.7933,1.152655,12.8374,184.7933,1.152655,13.18733,179.4715,0.3678371,13.0353,175.8231,5.761773,357.5656,160.1991,21.12136,351.9726,194.1953,354.9973,0.06445668,200.0163,359.6446,12.8374,184.7933,1.152655,13.17126,171.8076,3.002729,13.13512,159.6628,354.9065,341.4834,182.9578,351.392,
25,0.3554735,14.49464,182.2571,358.0415,3.077355,213.7285,1.590987,354.2748,184.6713,352.864,26.44514,182.0901,3.692106,3.761239,181.5793,355.572,357.8621,151.9752,355.7486,352.9914,181.4789,3.800946,59.72641,159.2573,334.8476,19.75513,181.7879,7.75172,353.5318,184.038,358.6695,353.5318,184.038,358.6695,12.93645,184.8132,1.20172,12.93645,184.8132,1.20172,13.29001,179.5221,0.3768539,13.13835,175.872,5.764057,357.5198,160.2028,21.18808,352.0316,194.1976,355.0456,0.04174354,200.0462,359.6393,12.93645,184.8132,1.20172,13.26822,171.8013,2.982864,13.22339,159.6298,354.8447,341.4675,183.0122,351.3504,
26,0.3764636,14.55878,182.2681,358.057,3.26174,213.7121,1.762594,354.5192,184.6394,352.9244,26.81448,182.6226,3.760124,3.76382,182.2177,355.5723,357.8039,151.9841,355.7613,352.9345,181.4904,3.783192,59.66796,159.2496,334.8595,19.75513,181.7879,7.751721,353.5876,184.0419,358.6917,353.5876,184.0419,358.6917,13.04161,184.832,1.250502,13.04162,184.832,1.250502,13.40203,179.5258,0.3655141,13.24944,175.8741,5.745455,357.4934,160.2265,21.25621,352.1036,194.1957,355.0918,0.04317171,200.0702,359.6297,13.04162,184.832,1.250502,13.37593,171.869,2.98515,13.32361,159.535,354.7664,341.47,183.0654,351.3121,
27,0.3819317,14.60957,182.274,358.0675,3.488296,213.6841,1.971487,354.8186,184.5925,352.9969,27.10903,183.2341,3.783113,3.765246,182.9933,355.5773,357.7426,151.9902,355.7697,352.8771,181.4997,3.760127,59.60714,159.2315,334.8622,19.75513,181.7879,7.751718,353.6325,184.0416,358.7062,353.6325,184.0416,358.7062,13.12786,184.8403,1.283907,13.12786,184.8403,1.283907,13.49307,179.5756,0.2911931,13.33569,175.9228,5.665362,357.4712,160.2919,21.21515,352.1595,194.1835,355.1193,0.0338245,200.0697,359.6079,13.12786,184.8403,1.283907,13.48024,172.0515,3.061805,13.42972,159.4176,354.7015,341.4492,183.1538,351.1792,
28,0.3885048,14.69793,182.2844,358.0877,3.472775,213.7032,1.94618,354.7927,184.6144,352.9823,27.19485,183.3201,3.803505,3.765247,183.0988,355.5773,357.6547,151.9981,355.7878,352.7917,181.5118,3.732303,59.51883,159.2176,334.8781,19.75512,181.7879,7.751722,353.7111,184.0406,358.7356,353.7111,184.0406,358.7356,13.27499,184.8554,1.346066,13.27499,184.8554,1.346066,13.6457,179.6334,0.2734866,13.48691,175.9783,5.637706,357.4712,160.2919,21.21515,352.2598,194.1632,355.1852,0.0321425,200.0711,359.6099,13.27499,184.8554,1.346066,13.63279,172.0507,3.069933,13.5781,159.2943,354.6489,341.4492,183.1538,351.1792,
29,0.3995846,14.71476,182.285,358.0911,3.482663,213.7042,1.953547,354.8049,184.6148,352.9839,27.11047,183.3671,3.762644,3.765563,183.1724,355.5779,357.6327,151.9981,355.7941,352.7694,181.5128,3.726957,59.49642,159.2176,334.8855,19.75513,181.7879,7.751719,353.7258,184.0383,358.7398,353.7258,184.0383,358.7398,13.3029,184.8551,1.356984,13.3029,184.8551,1.356984,13.67312,179.7168,0.2145671,13.51062,176.0615,5.577179,357.4456,160.3555,21.18336,352.2784,194.1508,355.1912,0.031805,200.0583,359.5945,13.3029,184.8551,1.356984,13.65688,172.0803,3.052228,13.59599,159.2802,354.6092,341.398,183.1972,351.157,
30,0.4106221,14.73016,182.2857,358.0951,3.489484,213.709,1.951528,354.8099,184.6202,352.9788,26.82534,183.3751,3.646876,3.766517,183.2093,355.5738,357.614,151.9984,355.7992,352.7506,181.5139,3.722155,59.47738,159.217,334.8913,19.75512,181.7879,7.751719,353.7397,184.0358,358.7446,353.7397,184.0358,358.7446,13.33075,184.8546,1.368619,13.33075,184.8546,1.368619,13.70366,179.7333,0.1649919,13.53802,176.0777,5.525658,357.4031,160.3911,21.16852,352.2932,194.1378,355.1971,0.02041971,200.0444,359.5766,13.33075,184.8546,1.368619,13.69269,172.1618,3.088279,13.63677,159.2697,354.6145,341.3357,183.2346,351.1505,
