Frame,Time,m_avg_PelvisRotX,m_avg_PelvisRotY,m_avg_PelvisRotZ,m_avg_L_HipRotX,m_avg_L_HipRotY,m_avg_L_HipRotZ,m_avg_L_KneeRotX,m_avg_L_KneeRotY,m_avg_L_KneeRotZ,m_avg_L_AnkleRotX,m_avg_L_AnkleRotY,m_avg_L_AnkleRotZ,m_avg_L_FootRotX,m_avg_L_FootRotY,m_avg_L_FootRotZ,m_avg_R_HipRotX,m_avg_R_HipRotY,m_avg_R_HipRotZ,m_avg_R_KneeRotX,m_avg_R_KneeRotY,m_avg_R_KneeRotZ,m_avg_R_AnkleRotX,m_avg_R_AnkleRotY,m_avg_R_AnkleRotZ,m_avg_R_FootRotX,m_avg_R_FootRotY,m_avg_R_FootRotZ,m_avg_Spine1RotX,m_avg_Spine1RotY,m_avg_Spine1RotZ,m_avg_Spine2RotX,m_avg_Spine2RotY,m_avg_Spine2RotZ,m_avg_Spine3RotX,m_avg_Spine3RotY,m_avg_Spine3RotZ,m_avg_L_CollarRotX,m_avg_L_CollarRotY,m_avg_L_CollarRotZ,m_avg_L_ShoulderRotX,m_avg_L_ShoulderRotY,m_avg_L_ShoulderRotZ,m_avg_L_ElbowRotX,m_avg_L_ElbowRotY,m_avg_L_ElbowRotZ,m_avg_L_WristRotX,m_avg_L_WristRotY,m_avg_L_WristRotZ,m_avg_NeckRotX,m_avg_NeckRotY,m_avg_NeckRotZ,m_avg_HeadRotX,m_avg_HeadRotY,m_avg_HeadRotZ,m_avg_R_CollarRotX,m_avg_R_CollarRotY,m_avg_R_CollarRotZ,m_avg_R_ShoulderRotX,m_avg_R_ShoulderRotY,m_avg_R_ShoulderRotZ,m_avg_R_ElbowRotX,m_avg_R_ElbowRotY,m_avg_R_ElbowRotZ,m_avg_R_WristRotX,m_avg_R_WristRotY,m_avg_R_WristRotZ,
21,0.3251388,10.80183,359.7303,359.3953,8.483076,30.41112,4.559408,0.4338678,1.057228,352.8057,9.511686,343.2196,357.5305,4.313108,343.7313,355.9396,5.737946,328.9637,356.5735,359.4561,358.1388,8.386759,6.207951,4.359704,358.4816,358.425,4.309462,0.4959541,352.8728,359.3754,359.9828,352.8728,359.3754,359.9828,11.09265,358.9106,2.942294,11.09265,358.9106,2.942293,8.987766,6.864546,11.28218,10.30669,353.0981,4.113353,16.78382,339.0099,17.52275,353.1973,358.8202,359.4008,0.7068875,357.2611,3.643872,11.09265,358.9106,2.942293,8.286023,353.0201,346.0675,9.568453,358.5082,342.3351,8.437346,8.527835,352.7933,
22,0.336284,10.83173,359.73,359.3984,8.451582,30.415,4.500226,0.3777001,1.069568,352.7701,9.776269,343.1908,357.6219,4.315329,343.7242,355.9519,6.116678,328.9663,356.5652,359.7908,358.1411,8.564197,6.302854,4.119888,358.3884,358.4258,4.189562,0.4956345,352.8944,359.3717,359.9893,352.8944,359.3717,359.9893,11.15985,358.9092,2.95986,11.15985,358.9092,2.95986,9.073006,6.833412,11.21235,10.37437,353.2382,4.195758,16.77308,339.0252,17.45835,353.2616,358.8066,359.425,0.7263223,357.2452,3.659446,11.15985,358.9092,2.95986,8.336275,352.978,346.0025,9.624627,358.4655,342.2751,8.408825,8.488021,352.825,
23,0.3474173,10.85804,359.7314,359.4004,8.425238,30.41974,4.465239,0.3377997,1.079331,352.7528,9.992992,343.1661,357.6913,4.311393,343.7172,355.9541,5.507378,328.7621,359.2201,2.07144,358.1552,7.101876,6.996707,3.948599,358.1892,358.4263,4.058022,0.4954616,352.9118,359.371,359.9937,352.9118,359.371,359.9937,11.221,358.9117,2.976109,11.221,358.9117,2.97611,9.076449,6.993948,11.40642,10.41607,353.0756,4.013906,16.75828,339.0397,17.50062,353.3122,358.8011,359.4425,0.7216692,357.2421,3.660194,11.221,358.9117,2.97611,8.37791,352.9177,345.9396,9.672014,358.4045,342.2163,8.446525,8.447141,352.8185,
24,0.3583282,10.89084,359.7324,359.4032,8.391953,30.42501,4.419285,0.2864813,1.091203,352.7295,10.23296,343.1484,357.7631,4.31317,343.7177,355.9531,5.718858,328.7354,359.6782,2.73779,358.1722,7.023663,7.533584,3.791182,358.0444,358.4262,3.919106,0.497093,352.9367,359.3688,-0.0003521393,352.9367,359.3688,-0.0003521393,11.29636,358.9135,2.996722,11.29636,358.9135,2.996722,9.138211,7.045645,11.44667,10.48522,353.1094,4.020081,16.75501,339.0545,17.49726,353.3858,358.7893,359.4654,0.7452095,357.2325,3.661655,11.29636,358.9135,2.996722,8.43153,352.8614,345.8611,9.732811,358.3474,342.1431,8.502099,8.420797,352.7932,
25,0.3695808,10.92568,359.734,359.4054,8.362088,30.43106,4.376935,0.239944,1.103328,352.7076,10.4766,343.1329,357.8313,4.31266,343.7207,355.9464,6.532354,328.8434,358.5218,2.233447,358.1907,7.931245,7.713591,3.645647,357.9958,358.4261,3.7801,0.4977167,352.9614,359.3676,0.004647449,352.9614,359.3676,0.004647449,11.37539,358.917,3.018939,11.37539,358.917,3.018939,9.262435,6.947305,11.2904,10.57979,353.2492,4.174553,16.73996,339.048,17.48326,353.4567,358.7784,359.4856,0.7564485,357.226,3.650453,11.37539,358.917,3.018939,8.486508,352.7989,345.7761,9.795569,358.2838,342.0635,8.595316,8.408704,352.7804,
26,0.3807777,10.96408,359.7372,359.4117,8.326573,30.43895,4.338573,0.1903883,1.116714,352.6919,10.71245,343.1144,357.9043,4.30865,343.7194,355.9457,7.681647,328.989,356.5476,1.165662,358.1722,9.311943,8.036477,3.577367,357.9612,358.4265,3.639582,0.499505,352.9896,359.3661,0.01602495,352.9896,359.3661,0.01602495,11.46164,358.9243,3.053833,11.46164,358.9243,3.053833,9.278825,7.163933,11.50675,10.63644,353.1638,3.997275,16.71275,339.0468,17.45867,353.5373,358.7658,359.5265,0.7789285,357.2241,3.659898,11.46164,358.9243,3.053833,8.549511,352.7366,345.7026,9.865244,358.2209,341.9961,8.617972,8.392064,352.799,
27,0.3918916,11.00036,359.7415,359.4193,8.301444,30.44755,4.304318,0.1519049,1.130213,352.6747,10.8741,343.0999,357.9532,4.307253,343.7167,355.9446,7.977348,328.9926,356.5925,1.402232,358.1737,9.494926,8.912375,3.637777,357.8679,358.4279,3.500099,0.5019028,353.0154,359.3656,0.02938692,353.0154,359.3656,0.02938692,11.54745,358.9339,3.092607,11.54745,358.9339,3.092607,9.298501,7.379887,11.69891,10.69254,353.0668,3.807211,16.70668,339.0269,17.44508,353.6096,358.7558,359.5734,0.7768323,357.227,3.675455,11.54745,358.9339,3.092607,8.609941,352.6749,345.6198,9.933213,358.1583,341.9192,8.613716,8.379234,352.8644,
28,0.4029683,11.04188,359.742,359.4253,8.25541,30.4538,4.255287,0.08797382,1.143487,352.6549,11.04228,343.0925,357.9983,4.309904,343.7192,355.9375,8.265127,328.9941,356.5769,1.660955,358.1808,9.621874,9.672194,3.737361,357.8284,358.4283,3.361909,0.508518,353.0455,359.36,0.04031651,353.0455,359.36,0.04031651,11.63992,358.9349,3.126248,11.63992,358.9349,3.126248,9.439954,7.296329,11.50924,10.79812,353.2635,3.98841,16.714,339.0135,17.44395,353.6937,358.7306,359.6129,0.7978724,357.2032,3.685501,11.63992,358.9349,3.126248,8.678554,352.6082,345.5405,10.00902,358.0911,341.8467,8.607268,8.365065,352.9109,
29,0.4139666,11.08338,359.7446,359.429,8.228862,30.46185,4.217494,0.04650192,1.156937,352.6353,11.13538,343.0854,358.0288,4.313007,343.7178,355.9403,8.531875,328.9963,356.5725,1.895951,358.1876,9.748241,10.41776,3.89333,357.807,358.4306,3.239797,0.5081903,353.0752,359.3589,0.04775882,353.0752,359.3589,0.04775882,11.73149,358.9408,3.155768,11.73148,358.9408,3.155768,9.587465,7.171318,11.32333,10.91083,353.4767,4.227257,16.71428,339.0322,17.45052,353.7747,358.7181,359.6401,0.8142928,357.1981,3.674426,11.73148,358.9408,3.155768,8.751301,352.5453,345.4888,10.0863,358.0282,341.8021,8.649227,8.347023,352.8698,
30,0.4354716,11.12681,359.7468,359.4347,8.206263,30.46942,4.18848,0.01276109,1.168639,352.6213,11.17731,343.0848,358.0419,4.313412,343.7192,355.9402,8.75957,328.9969,356.5653,2.098236,358.1929,9.853088,11.11757,4.081189,357.8001,358.4319,3.127744,0.5034747,353.106,359.3557,0.05831261,353.106,359.3557,0.05831261,11.82544,358.9459,3.191336,11.82544,358.9459,3.191336,9.739594,7.058543,11.1087,11.01933,353.7108,4.423923,16.71132,339.0448,17.42198,353.8571,358.6986,359.6773,0.8332115,357.1852,3.674213,11.82544,358.9459,3.191336,8.826941,352.4877,345.4371,10.16648,357.9707,341.7578,8.691515,8.325476,352.8221,
